qid,Label,Type,Author,Publisher,Date,Game_references,Misc_references,Quotations,Notes,
Q47004682,John Carter: Warlord of Mars,board wargame,,SPI,1979,2,1,0,Cites Barsoom saga de ER Burrough. Cites the Battle for Germany and War of the Ring wargames,
,KampfPanzer,board wargame,Dunnigan,SPI,1973,0,0,0,,
,Kharkov,board wargame,,SPI,1978,1,0,0,Panzergruppe Guderian,
Q6412792,Kingmaker,board wargame,,Avalon Hill,1976,0,0,0,,
Q1739284,Kremlin,board wargame,,Avalon Hill,1986,0,0,0,1 follow up article in mag. The General,
,Lee Moves North,board wargame,,SPI,1973,2,0,0,Cites game system of Wilderness Campaign + Franco-Prussian War,
,Leningrad,board wargame,,SPI,1979,0,0,0,,
Q1069465,Little Wars,miniature wargame,Wells,Frank Palmer,1913,1,1,0,British Encyclopedia + Floor Games,
,Luftwaffe,board wargame,,Avalon Hill,1971,0,0,0,,
Q3274312,Machiavelli 2mdn,board wargame,,Avalon Hill,1980,1,4,0,2nd ed. (1 game cited : Diplomacy (as variant)) + 4 works of N Macchiavelli,
Q6730815,Magic Realm,board wargame,,Avalon Hill,1979,0,0,0,,
,Marne,board wargame,,SPI,1972,0,0,1,Historical quote,
,MBT,board wargame,,Avalon Hill,1989,0,0,0,,
Q3854831,Merchant of Venus,board game,,Avalon Hill,1988,0,0,0,,
,Modern Battles : Chinese farm,board wargame,,SPI,1975,0,0,0,,
,Modern Battles : Golan,board wargame,,SPI,1975,0,0,0,,
,Modern Battles : Mukden,board wargame,,SPI,1975,0,0,0,,
,Modern Battles : Wurzburg,board wargame,Dunnigan,SPI,1975,0,0,0,,
,Modern Battles II - Bundeswehr,board wargame,,SPI,1977,0,0,0,,
,Moscow Campaign,board wargame,,SPI,1972,5,0,0,"Inspired by Battle of France 1940 & Kursk. Cites also Battle of Stalingrad, Breakout & poursuit, Destruction of Army Group Center",
,Musket & Pike,board wargame,,SPI,1973,1,0,0,Based on Grenadier,
Q65064692,Mystic Wood,board wargame,,Avalon Hill,1980,0,5,1,"1 quote of Dante, 5 fantasy literature ref.",
,Napoleon ‘s Art of War,board wargame,,SPI,1979,2,0,0,Napoleon at War series (Napoleon at Waterloo/Borodino),
,Napoleon at Waterloo,board wargame,Dunnigan,SPI,1971,0,0,0,,
,NATO,board wargame,Dunnigan,SPI,1973,0,0,0,,
,Ney vs. Wellington,board wargame,,SPI,1979,0,0,0,,
Q48976679,Nomad Gods,board wargame,Stafford,Chaosium,1977,2,0,0,Wyrms’s footnotes + Dragon Pass series,
,Normandy,board wargame,Dunnigan,SPI,1971,0,0,0,,
,Objective Moscow,board wargame,,SPI,1978,1,0,0,Invasion : America,
,Oil War,board wargame,Dunnigan,SPI,1975,2,0,0,World War Three + Global War,
Q65076060,Omega War,board wargame,Ritchie,SPI,1983,0,28,1,"25 novels or saga or writers, 3 movies (Chapter on pulp stories)",
,Operation Olympic,board wargame,Dunnigan,SPI,1974,0,0,0,,
,Operation Typhoon,board wargame,,SPI,1978,2,18,1,Bibliography section + Panzergruppe Guderian +Wacht am Rhein,
Q48976527,Outdoor Survival,board game,Dunnigan,Avalon Hill,1972,0,6,0,,
Q7132032,Panzer Leader,board wargame,,Avalon Hill,1974,0,0,0,Cites magazine,
Q7132007,PanzerBlitz,board wargame,Dunnigan,Avalon Hill,1970,0,15,0,,
,Pegasus Bridge,board wargame,,,1988,0,4,0,3 books + 1 Museum,
,"Phalanx, tactical warfare",board wargame,,SPI,1971,0,0,0,,
Q3381375,Phoenix Command,board wargame,,Leading Edge Games,1986,0,0,36,,
,PRESTAGS Legion,board wargame,,SPI,1975,5,0,0,"Unifying old wargames (Phalanx, Armageddon, Centvrion, Dark Ages and Renaissance of Infantry)",
,PRESTAGS Vikings,board wargame,,SPI,1975,5,0,0,"Unifying old wargames (Phalanx, Armageddon, Centvrion, Dark Ages and Renaissance of Infantry)",
Q48998393,Ram Speed,board wargame,,Metagaming,1980,0,0,1,Aeschyius,
,Red Star White Star Revision,board wargame,Dunnigan,SPI,1972,5,0,0,PanzerBlitz + Combat Command + Tactical Game 3 + KampfPanzer + Desert War,
,Red Sun Rising,board wargame,,SPI,1977,0,0,0,,
,Revolt in the East,board wargame,,SPI,1976,0,0,0,,
,Richthoften's War,board wargame,,Avalon Hill,1972,0,0,0,,
Q10363000,Rise and decline of the 3rd Reich (3rd ed.,board wargame,,Avalon Hill,1974,0,0,0,,
Q7336234,Risk 2210 AD,board wargame,,Avalon Hill/Hasbro,2001,1,0,0,Classic Risk,
,Road Kill,board wargame,,Avalon Hill,1992,0,0,0,,
,Road to Richmond,board wargame,,SPI,1977,0,0,0,,
Q48997923,Rommel’s Panzers,board wargame,,Metagaming,1980,0,0,1,,
,Russian Civil War,board wargame,Dunnigan,SPI,1976,0,0,0,,
,Samurai,board wargame,Dan Campagna,Avalon Hill,1980,0,0,0,,
,Scrimmage,board game,Dunnigan,SPI,1973,0,0,0,,
,Seelowe,board wargame,,SPI,1974,0,0,0,,
,Siege of Constantinople,board wargame,,SPI,1978,4,2,0,Alesia + Siege of Jerusalem + MOVES article + Tyre,
Q75566728,Siege of Jerusalem,board wargame,,Avalon Hill,1976,0,0,0,1 follow up article in mag. The General,
,Soldiers,board wargame,,SPI,1972,0,0,0,,
,Solomons Campaign,board wargame,,SPI,1973,1,0,0,Cites USN,
Q7565156,Source of the Nile,board game,Wisely,Avalon Hill,1978,0,0,0,,
,Spear Head,board wargame,,Quantum Publishing,1995,0,0,0,,
,SPI Football,board game,,SPI,1980,0,0,0,,
,Squadron Strike 2nd ed.,board wargame,Burnside,Ad Astra,2015,3,0,0,,
,Stalin’s Tanks,board wargame,,Metagaming,1980,0,0,0,,
,Starfleet Battles,board wargame,,Task Force Games,1979,0,3,0,"1 map cited from another work, rules of Lou Zocchi mentionned, the films of Star Trek mentionned as films no use of Star Trek label",
Q3968414,Starship Troopers,board wargame,,Avalon Hill,1976,0,1,0,1 ref: Heimlein,
,Stonewall,board wargame,,SPI,1978,0,0,0,,
Q7620156,Storm over Arnhem,board wargame,,Avalon Hill,1981,0,0,1,1 quote of Churchill,
Q7621875,"Stratego, Legends",board game,,Avalon Hill/Hasbro,1999,1,0,1,"fictional short story as epigraph, mention Stratego in copyright block section",
Q85803680,Strategos,miniature wargame,Totten,Appleton & Co.,1880,29,31,0,"60+ references (29 Kriegsspiel ref.) in Vol.1 : viii-xx, 66, 68, 75, 79, 93, 112, 133, 141-164 / Vol.2 : 63-66",
Q106549583,Strategos C,miniature wargame,Wesely,unpublished,1969,?,?,0,,
Q106370103,Strategos N,miniature wargame,Wesely,Self-publishing,1970,?,?,0,,
,Strategy I,board wargame,Dunnigan,SPI,1971,0,0,0,,
Q106532262,Studien über das Kriegsspiel,essay,Meckel,Mittler und Sohn,1873,0,0,0,,
Q48997096,Swords & Sorcery,board game,Costikyan & Goldberg,SPI,1978,1,0,0,Cites D&D,
,T34,board wargame,,SPI,1970,1,0,0,Tactical game no. 3 of TSG,
,Tac Air,board wargame,,Avalon Hill,1982,1,0,0,citing Flight Leader,
,Tactics,board wargame,Calhoun & Fielding,Northwestern Products Company,1940,0,0,0,,
Q2387023,Tactics,board wargame,Roberts,Avalon Hill,1954,?,?,0,,
Q2387023,Tactics 1983 Reprint,board wargame,Roberts,Avalon Hill,1983,2,0,0,Cites Tactics 1954 and Tactics II,
Q2387023,Tactics II,board wargame,Roberts,Avalon Hill,1958,?,?,0,,
Q106550055,Taktisches Kriegs-Spiel oder Anleitung zu einer mechanischen Vorrichtung um taktische Manoeuvres sinnlich darzustellen,essay,von Reiswitz,Gädicke,1811,0,33,0,"pp.xviii-xxviii (approx.), several games cited",
,Tank!,board wargame,Dunnigan,SPI,1974,2,0,0,KampfPanzer/Desert War,
,Tank Leader,board wargame,Quam,Oriflam/West End Games,1987,0,0,0,,
,Tannenberg,board wargame,Dunnigan,SPI,1978,0,0,0,,
,Task Force,board wargame,,SPI,1981,0,0,0,,
Q7703658,Terrible Swift Sword,board wargame,,SPI,1976,0,6,0,5+1 essays,
Q55635020,The Air-Eaters Strike Back!,board wargame,,Metagaming,1981,0,0,0,,
,The Art of Siege,board wargame,,SPI,1978,0,1,0,1 journal,
,"The Battle for France, 1940",board wargame,,SPI,1971,0,0,0,,
,The Battle of Bull Run,board wargame,Dunnigan,SPI,1973,0,0,0,,
,The Battle of Monmouth,board wargame,,SPI,1982,0,0,0,,
,The Battle of Moscow,board wargame,,SPI,1970,4,0,0,4 wargames,
,The China War,board wargame,,SPI,1979,1,1,0,Rules based on 1 wargame cited : Panzergruppe Guderian,
Q106531850,The Compleat Strategyst: Being a Primer on the Theory of Games of Strategy,essay,Williams,McGraw-Hill,1954,0,3,1,"vi-ix, 8",
Q7728000,The Creature that Ate Sheboygan,board game,,SPI,1979,0,0,0,,
,The Duel,board game,"Coxhead, Pass & Bund",Alternative Armies,1992,4,0,8,"Cites 4 other trademarked games, 8 fictives epigraphs",
Q7733398,The Fantasy Trip Melee,miniature wargame,Jackson,Metagaming,1977,1,1,0,Cites Fantasy Trip Wizards,
Q7733398,The Fantasy Trip Wizards,miniature wargame,Jackson,Metagaming,1978,1,1,0,Cites Fantasy Trip Melee,
Q2436817,The Law of Titan,board game,,Avalon Hill,1982,0,0,0,,
Q65058693,The Lonely Mountain,board game,,ICE,1984,0,2,0,"LotR, The Hobbit",
Q7748311,The longest day,board wargame,,Avalon Hill,1979,0,0,0,,
Q106370119,The Modern War in Miniature,miniature wargame,Korns,,1966,0,12,0,10 essays in footnotes with a lot of op.cite. + 2 thanks to museums,
,The Offensive of the Ardennes,board wargame,Dunnigan,SPI,1973,1,0,0,1 wargame cited : Bastogne (1970),
,The Return of the Stainless Steel Rat,board game,Costikyan,SPI,1981,0,1,0,Novel that inspired the game,
Q104856156,The Riddle of the Ring,board wargame,,ICE,1985,0,5,0,"LotR, The Hobbit + 3 illustration books",
Q49001493,The Sword and the Star,board wargame,,SPI,1981,1,0,0,Based on Empires of the Middle Ages,
,Thirty Years War – Breitenfeld,board wargame,,SPI,1976,0,0,0,,
,Thirty Years War – Freiburg,board wargame,,SPI,1976,0,0,0,,
,Thirty Years War – Lutzen,board wargame,,SPI,1976,0,0,0,,
,Thirty Years War – Nordlingen,board wargame,,SPI,1976,0,0,0,,
,Thirty Years War – Rocroi,board wargame,,SPI,1976,0,0,0,,
Q48998072,Titan Strike!,board wargame,,SPI,1979,0,0,0,,
,To the Green Fields Beyond,board wargame,,SPI,1978,6,17,1,Full bibliography section + Air War + 5 games for comparison,
Q7811739,Tobruk,board wargame,,Avalon Hill,1975,0,46,0,"+ special thanks + 10 acknoledgements (Lib. Of Congress,…)",
Q21072528,"Turning Point Stanlingrad, 2nd ed.",board wargame,,Avalon Hill,1989,0,1,0,1 mag. + 2 special thx,
,U Boat,board wargame,,Avalon Hill,1977,0,0,0,,
Q4006223,Up Front,board wargame,,Avalon Hill,1983,1,0,0,Squad Leader cited,
Q106549648,Valley Forge,miniature wargame,Wesely,TSR,1976,?,?,0,,
Q48997747,Vector 3,board game,Costikyan,SPI,1979,0,0,0,,
Q7927585,Victory in the Pacific,board wargame,,Avalon Hill,1977,0,0,0,,
Q7968586,War at Sea,board wargame,,Avalon Hill,1976,0,1,0,Leeward publication series of ref. books,
Q7968700,War of the Ring,board wargame,,SPI,1977,0,1,0,LotR,
,When the Navy Walked 2nd ed.,miniature wargame,Adams,Armchair General,2001,0,5,0,"5 XIX SF novels (Verne, Wells, Burrough)",
Q3966833,White Bear Red Moon,board wargame,Stafford,Chaosium,1976,0,7,0,7 fantasy novels or saga,
Q8028775,Wizards,board game,,Avalon Hill,1982,0,0,0,special thanks,
Q3569827,Wooden ships and Iron men,board wargame,,Avalon Hill,1975,0,2,0,"US Naval Academy Museum, cover art inspiration",
