qid,edition,series_ordinal,label,date,nb_forged,nb_work,academic,literature,historical,music,religious,game,unknown,bd,cinema,videogame,franchise,confusing_mix,notes,,
Q5464,2nd ed.,2,Earthdawn,2001,21,0,,,,,,,,,,,,,,,
Q5464,3rd ed.,4,Earthdawn,2009,111,0,,,,,,,,,,,,,,,
Q5464,4th ed.,5,Earthdawn,2015,24,0,,,,,,,,,,,,,,,
Q5464,Classic,3,Earthdawn,2005,242,0,,,,,,,,,,,,,,,
Q17528629,1st ed.,1,Empire of the Petal Throne,,0,1,,,,,,g,,,,,,,,,
Q3053300,,,Empires & Dynasties,,11,0,,,,,,,,,,,,,,,
Q5467,1st ed.,1,Exalted,,0,1,,l,,,,,,,,,,,,,
Q5467,2nd ed.,2,Exalted,,0,1,,l,,,,,,,,,,,,,
Q5467,3rd ed.,3,Exalted,,0,2,,l,h,,,,,,,,,,,,
Q78106494,,,Faery's Tale,,0,7,a,l,,,,,,,,,,,,,
Q2905432,,,"Fanhunter, el juego de rol �picodecadente",,25,0,,l,,,,,,,c,,,x,Quotes seem apocyphical,,
Q104854054,,,FATAL,,0,0,,,h,,,,,,,,,,51 latin quotations with english translations (unatribbuted),,
Q5437376,2nd ed.,2,Fate of the Norns,,0,6,,l,h,m,,,,,,,f,,,,
Q679434,,,Feng Shui,,1,0,,,,,,,,,,,,,,,
Q68389167,,,Fvlminata,,0,37,,l,h,,,,,,,,,,,,
Q5520309,3rd ed.,3,Gamma World,,0,0,,,,,,,,,,,,,,,
Q5520309,4th ed.,4,Gamma World,,0,0,,,,,,,,,,,,,,,
Q5520309,5th ed.,5,Gamma World,,1,0,,,,,,,,,,,,,,,
Q5520309,7th,7,Gamma World,,0,0,,,,,,,,,,,,,,,
Q528638,1st ed.,1,Gangbusters,,0,0,,,,,,,,,,,,,,,
Q528638,3rd ed.,3,Gangbusters,,0,0,,,,,,,,,,,,,,,
Q5530251,,,Geist : The Sin-Eaters,,0,7,a,l,h,,r,,,,,,,,,,
Q104854261,,,Gemini,,47,0,,,,,,,,,,,,,,,
Q2052922,1st ed.,1,Ghostbusters,,0,24,,,,m,,,,,,,f,,,,
Q2052922,intl,2,Ghostbusters,,0,45,,,,,,,,,c,,f,,Few epigraphs have sources mentioning the original movies,,
Q104854286,,,Godbound,,0,0,,,,,,,,,,,,,,,
Q5576735,,,Godlike,,5,7,,,h,,,,,,,,,x,,,
Q105350257,,,Golden Skies Stories,,0,0,,,,,,,,,,,,,,,
Q105350342,,,Good Society,,0,0,,,,,,,,,,,,,,,
Q49001785,,,Grimtooth’s traps,,0,0,,,,,,,,,,,,,,,
Q3119535,,,Guildes,,1,1,a,,,,,,,,,,,,,,
Q5619400,,,Gunslingers and Gamblers,,0,8,,,h,,,,,,,,,,,,
Q78105849,,,GURPS Russia,,0,7,,l,h,,,,,,,,,,,,
Q1860174,,,HackMaster,,0,1,,,,,,g,u,,,,,,,,
Q18348765,1ere éd. Française,2,Hawkmoon,,0,2,,l,,,,,,,,,f,,,,
Q105350382,,,HeadSpace,,0,0,,,,,,,,,,,,,,,
Q71205904,,,Hearts & Souls,,0,2,,l,h,,,,,,,,,,,,
Q1430264,,,Heavy Gear,,0,0,,,,,,,,,,,,,,,
Q3129144,,,Heavy Metal,,1,0,,,,,,,,,,,,,,,
Q1613765,4th ed.,4,Hero System,,0,0,,,,,,,,,,,,,,,
Q1613765,Fantasy Hero 5,5,Hero System,,0,0,,,,,,,,,,,,,,,
Q3785299,2nd ed.,2,Heroes Unlimited ,,0,0,,,,,,,,,,,,,,,
Q1476922,1st ed.,1,HeroQuest,,0,1,,,,,,g,,,,,,,,,
Q1476922,2nd ed.,2,HeroQuest,,0,0,,,,,,,,,,,,,,,
Q105350472,Manuel des joueurs,,Héros & Dragons,,3,0,,,,,,,,,,,,,,,
Q267872,,,Hollow Earth Expedition,,0,0,,,,,,,,,,,,,,,
Q90818594,,,Honor + Intrigue,,0,8,,l,,,,,,,c,,,,,,
Q77074912,,,Hot War,,0,1,,,h,,,,,,,,,,,,
,,,Humadyne,,4,4,,,h,,,,,b,,,,,,,
Q1417664,,,Hunter: The Reckoning,,24,11,,,,,r,,,,,,,,All Bible verses,,
Q3143353,,,Hunter: The Vigil,,0,8,a,l,h,m,r,,,,,,,,Mixed works, zero from The Bible,
Q778991,1ere éd. ,1,In Nomine Satanis - Magna Veritas,1990,13,32,,l,,m,r,,,,,,,x,unattributed latin quotations,,
Q778991,4e éd.,4,In Nomine Satanis - Magna Veritas,2003,5,11,,l,,,r,,,,,,,x,One-page novel with authors - numerous unattributated fictive quotations -  8 emails ,, 
Q778991,2e éd.,2,In Nomine Satanis - Magna Veritas,1993,0,0,,,,,,,,,,,,,,,
Q778991,3e éd.,3,In Nomine Satanis - Magna Veritas,1997,0,0,,,,,,,,,,,,,,,
Q778991,Génération perdue,6,In Nomine Satanis - Magna Veritas,2015,0,2,,,,m,r,,,,,,,,,,
Q64561870,2e éd.,2,Inflorenza,,9,0,,,,,,,,,,,,,Unattributed forged epigraphs,,
Q68521368,beta,,Inglorious,,0,5,,,h,,r,,,,,v,,,,,
Q21071627,,,Jorune,,1,0,,,,,,,,,,,,,,,
Q1392276,1st ed. English,1,Kult,1993,0,9,a,l,,m,,,,b,c,,,,,,
Q1392276,3rd ed.,3,Kult,2004,0,9,a,l,,m,,,,b,c,,,,,,
Q1392276,2nd ed.,2,Kult,2001,1,0,,,,,,,,,,,,,,,
Q3200554,,,Kuro,,14,12,,l,,m,r,,,b,c,,,,,,
Q3204793,,,L’Ultime épreuve,,0,0,,,,,,,,,,,,,,,
Q90426356,,,La Brigade chimérique,,0,6,a,l,h,,,,,,,,f,,,,
Q36939170,,,La Compagnie des glaces,,0,0,,,,,,,,,,,,,,,
,,,La Terre Creuse,,1,0,,,,,,,,,,,f,,,,
Q27102827,Gamemaster book,,Lamentations of the Flame Princess,,0,3,,l,,,,g,,,,,,,One Gary Gygax quotation,,
Q3177833,,,Lanfeust,,2,0,,,,,,,,,,,f,,A dozen unattributed diegetic quotations,,
Q3224019,1st ed.,1,Legend of the Five Rings Roleplaying Game,1997,7,6,a,l,,,r,,,,,,,,,,
Q3224019,2nd ed.,2,Legend of the Five Rings Roleplaying Game,2000,35,7,a,l,,,r,,,,,,,,,,
